"filename", "language", "C++", "HTML", "Dart", "Markdown", "YAML", "Swift", "JSON", "XML", "JavaScript", "Groovy", "Properties", "WebAssembly Text Format", "comment", "blank", "total"
"d:\Mobileapp\mgame\analysis_options.yaml", "YAML", 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -22, -5, -36
"d:\Mobileapp\mgame\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, -51, 0, 0, -5, -12, -68
"d:\Mobileapp\mgame\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, -4, -1, -8
"d:\Mobileapp\mgame\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, 0, 0, -6, -1, -34
"d:\Mobileapp\mgame\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, -1, -10
"d:\Mobileapp\mgame\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, -1, -10
"d:\Mobileapp\mgame\android\app\src\main\res\mipmap-anydpi-v26\launcher_icon.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, -1, -6
"d:\Mobileapp\mgame\android\app\src\main\res\values-night-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, 0, 0, -7, -1, -22
"d:\Mobileapp\mgame\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, 0, 0, -9, -1, -23
"d:\Mobileapp\mgame\android\app\src\main\res\values-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, 0, 0, -7, -1, -22
"d:\Mobileapp\mgame\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, -4
"d:\Mobileapp\mgame\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, 0, 0, -9, -1, -23
"d:\Mobileapp\mgame\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, -4, -1, -8
"d:\Mobileapp\mgame\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, -26, 0, 0, 0, -5, -31
"d:\Mobileapp\mgame\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -1, -4
"d:\Mobileapp\mgame\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, -1, -6
"d:\Mobileapp\mgame\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, -24, 0, 0, 0, -6, -30
"d:\Mobileapp\mgame\devtools_options.yaml", "YAML", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"d:\Mobileapp\mgame\firebase.json", "JSON", 0, 0, 0, 0, 0, 0, -55, 0, 0, 0, 0, 0, 0, 0, -55
"d:\Mobileapp\mgame\functions\air_pollution\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -174, 0, 0, 0, -13, -32, -219
"d:\Mobileapp\mgame\functions\air_pollution\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, -7013, 0, 0, 0, 0, 0, 0, -1, -7014
"d:\Mobileapp\mgame\functions\air_pollution\package.json", "JSON", 0, 0, 0, 0, 0, 0, -29, 0, 0, 0, 0, 0, 0, 0, -29
"d:\Mobileapp\mgame\functions\create_pass\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -108, 0, 0, 0, -8, -22, -138
"d:\Mobileapp\mgame\functions\create_pass\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, -7013, 0, 0, 0, 0, 0, 0, -1, -7014
"d:\Mobileapp\mgame\functions\create_pass\package.json", "JSON", 0, 0, 0, 0, 0, 0, -29, 0, 0, 0, 0, 0, 0, 0, -29
"d:\Mobileapp\mgame\functions\list_elements\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -44, 0, 0, 0, -6, -20, -70
"d:\Mobileapp\mgame\functions\list_elements\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, -7013, 0, 0, 0, 0, 0, 0, -1, -7014
"d:\Mobileapp\mgame\functions\list_elements\package.json", "JSON", 0, 0, 0, 0, 0, 0, -29, 0, 0, 0, 0, 0, 0, 0, -29
"d:\Mobileapp\mgame\functions\update_elements\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -142, 0, 0, 0, -12, -38, -192
"d:\Mobileapp\mgame\functions\update_elements\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, -7013, 0, 0, 0, 0, 0, 0, -1, -7014
"d:\Mobileapp\mgame\functions\update_elements\package.json", "JSON", 0, 0, 0, 0, 0, 0, -29, 0, 0, 0, 0, 0, 0, 0, -29
"d:\Mobileapp\mgame\gcloud\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -22, 0, 0, 0, -7, -6, -35
"d:\Mobileapp\mgame\gcloud\packages.json", "JSON", 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, -7
"d:\Mobileapp\mgame\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, -2, -4, -13
"d:\Mobileapp\mgame\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, -2, -14
"d:\Mobileapp\mgame\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, -122, 0, 0, 0, 0, 0, 0, -1, -123
"d:\Mobileapp\mgame\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, -21, 0, 0, 0, 0, 0, 0, -1, -22
"d:\Mobileapp\mgame\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, -1, -24
"d:\Mobileapp\mgame\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -5
"d:\Mobileapp\mgame\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, -43, 0, 0, 0, 0, -1, -1, -45
"d:\Mobileapp\mgame\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, 0, 0, -1, -1, -27
"d:\Mobileapp\mgame\ios\Runner\Runner-Bridging-Header.h", "C++", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"d:\Mobileapp\mgame\linux\flutter\generated_plugin_registrant.cc", "C++", -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -5, -16
"d:\Mobileapp\mgame\linux\flutter\generated_plugin_registrant.h", "C++", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"d:\Mobileapp\mgame\linux\main.cc", "C++", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -7
"d:\Mobileapp\mgame\linux\my_application.cc", "C++", -74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -20, -105
"d:\Mobileapp\mgame\linux\my_application.h", "C++", -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -5, -19
"d:\Mobileapp\mgame\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, 0, -3, -4, -23
"d:\Mobileapp\mgame\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, -2, -4, -13
"d:\Mobileapp\mgame\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, -2, -10
"d:\Mobileapp\mgame\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, -68, 0, 0, 0, 0, 0, 0, 0, -68
"d:\Mobileapp\mgame\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, -343, 0, 0, 0, 0, 0, -1, -344
"d:\Mobileapp\mgame\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, -4, -16
"d:\Mobileapp\mgame\public\index.html", "HTML", 0, -79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -5, -90
"d:\Mobileapp\mgame\pubspec.yaml", "YAML", 0, 0, 0, 0, -106, 0, 0, 0, 0, 0, 0, 0, 0, -35, -141
"d:\Mobileapp\mgame\test\widget_test.dart", "Dart", 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -6, -30
"d:\Mobileapp\mgame\web\index.html", "HTML", 0, -98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, -15, -129
"d:\Mobileapp\mgame\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, -35, 0, 0, 0, 0, 0, 0, 0, -35
"d:\Mobileapp\mgame\windows\flutter\generated_plugin_registrant.cc", "C++", -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -5, -15
"d:\Mobileapp\mgame\windows\flutter\generated_plugin_registrant.h", "C++", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"d:\Mobileapp\mgame\windows\runner\flutter_window.cpp", "C++", -49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -16, -72
"d:\Mobileapp\mgame\windows\runner\flutter_window.h", "C++", -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -9, -34
"d:\Mobileapp\mgame\windows\runner\main.cpp", "C++", -30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -10, -44
"d:\Mobileapp\mgame\windows\runner\resource.h", "C++", -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -2, -17
"d:\Mobileapp\mgame\windows\runner\utils.cpp", "C++", -54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -10, -66
"d:\Mobileapp\mgame\windows\runner\utils.h", "C++", -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -6, -20
"d:\Mobileapp\mgame\windows\runner\win32_window.cpp", "C++", -210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -24, -55, -289
"d:\Mobileapp\mgame\windows\runner\win32_window.h", "C++", -48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -31, -24, -103
"Total", "-", -538, -275, -14, -9, -116, -62, -28538, -525, -1637, -101, -8, -283563, -340, -7981, -323707
